Data,Cod_adult_M_ICES_2024,Cod_juv_M_ICES_2025,Cod_adult_new_min,Cod_juvenile_new_min,Cod_adult_new_max,Cod_juvenile_new_max
2011,30611.25621,49047.26793,19101.54815,15463.1363,9642.123201,21864.85016
2011.083333,30644.10601,49102.76744,19181.97841,15364.27857,9819.18056,21573.88657
2011.166667,30678.8467,49158.34876,19247.78026,15269.30487,9956.144122,21319.77493
2011.25,30715.44995,49213.68468,19301.09315,15178.13653,10059.1399,21100.96379
2011.333333,30753.87487,49268.58956,19343.4776,15090.81288,10133.01652,20916.07863
2011.416667,30793.98303,49322.97846,19376.13233,15007.46607,10181.81351,20763.92059
2011.5,30835.64542,49376.80418,19399.98234,14928.26757,10208.97118,20643.41075
2011.583333,30878.68272,49430.10134,19415.7072,14853.42187,10217.48477,20553.54787
2011.666667,30922.94704,49482.92341,19423.93145,14783.15395,10210.00703,20493.37466
2011.75,30968.34401,49535.32704,19425.1632,14717.67616,10188.97073,20461.87637
2011.833333,31014.83272,49587.31221,19419.86809,14657.182,10156.74908,20457.77815
2011.916667,31062.40059,49638.84748,19408.5275,14601.81462,10115.59874,20479.59735
2012,31110.23275,49690.75086,19389.86563,14553.42086,10058.72269,20534.59215
2012.083333,31157.89815,49759.20655,19386.49444,14506.05435,9949.374129,20567.86654
2012.166667,31205.50063,49827.79754,19374.07312,14465.29178,9833.030922,20627.53809
2012.25,31252.95208,49896.84473,19353.84286,14431.10483,9711.91764,20710.5292
2012.333333,31300.18016,49966.55263,19326.85134,14403.4589,9587.975926,20813.75216
2012.416667,31347.11878,50037.13832,19293.9685,14382.30364,9462.949375,20934.10999
2012.5,31393.67986,50108.80947,19255.91484,14367.58715,9338.332858,21068.531
2012.583333,31439.66203,50181.88384,19213.34476,14359.2402,9215.382658,21213.99844
2012.666667,31484.81988,50256.73268,19166.81515,14357.17784,9095.135472,21367.57534
2012.75,31528.8797,50333.75556,19116.83254,14361.29154,8978.378852,21526.46495
2012.833333,31571.69047,50413.28599,19063.81698,14371.47117,8865.601377,21688.11035
2012.916667,31613.07914,50495.63545,19008.1743,14387.58774,8757.056415,21850.18226
2013,31652.36928,50581.63768,18954.63017,14405.12483,8665.195735,21998.15888
2013.083333,31690.18383,50680.36326,18833.87467,14394.83666,8451.432954,22013.20894
2013.166667,31727.18665,50780.93254,18719.36601,14385.75191,8263.808038,22012.41295
2013.25,31763.79935,50883.33608,18609.97942,14377.89735,8098.215159,21995.7236
2013.333333,31800.38058,50987.39453,18504.90631,14371.23992,7951.472436,21963.03617
2013.416667,31837.19148,51092.77754,18403.59452,14365.6884,7820.918662,21914.24889
2013.5,31874.45859,51199.10757,18305.65864,14361.14209,7704.2541,21849.29505
2013.583333,31912.27314,51306.03853,18210.81235,14357.48303,7599.446738,21768.18689
2013.666667,31950.74211,51413.21489,18118.85903,14354.58063,7504.661769,21671.02321
2013.75,31989.88752,51520.28428,18029.61461,14352.31691,7418.202895,21558.09245
2013.833333,32029.74398,51626.93523,17942.89661,14350.60694,7338.345946,21429.97777
2013.916667,32070.24856,51732.87827,17858.51941,14349.39564,7263.430096,21287.5195
2014,32110.67133,51838.55703,17781.03088,14343.88973,7206.654128,21116.9813
2014.083333,32154.35046,51954.96758,17673.68777,14302.87704,7108.997233,20794.23607
2014.166667,32200.9839,52070.71428,17574.51069,14258.26977,7026.294117,20452.55412
2014.25,32250.54963,52185.01057,17481.9234,14210.12142,6954.931331,20094.72207
2014.333333,32302.85887,52297.29012,17394.75392,14158.51065,6892.008232,19723.5502
2014.416667,32357.79206,52407.13449,17312.05524,14103.54913,6835.147808,19341.82259
2014.5,32415.11325,52514.17242,17233.07225,14045.36431,6782.372098,18952.27056
2014.583333,32474.56758,52618.13019,17157.18987,13984.10561,6732.005918,18557.52237
